date,notes,region_code,region,metric,value
2025-04-01,[note 4],E12000008,South East,50kW+ EV chargers,3506.0
2025-04-01,[note 4],E12000008,South East,EV chargers per 100k,143.503922350668
2025-04-01,[note 4],E12000008,South East,50kW+ EV chargers per 100k,36.3581985663711
2025-04-01,[note 4],E12000009,South West,EV chargers,8191.0
2025-04-01,[note 4],E12000009,South West,50kW+ EV chargers,2414.0
2025-04-01,[note 4],E12000009,South West,EV chargers per 100k,139.073415516423
2025-04-01,[note 4],E12000009,South West,50kW+ EV chargers per 100k,40.9868422728172
2025-04-01,[note 4],W92000004,Wales,EV chargers,4936.0
2025-04-01,[note 4],W92000004,Wales,50kW+ EV chargers,1111.0
2025-04-01,[note 4],W92000004,Wales,EV chargers per 100k,154.899561630475
2025-04-01,[note 4],W92000004,Wales,50kW+ EV chargers per 100k,34.8649540055627
2025-04-01,[note 4],S92000003,Scotland,EV chargers,11625.0
2025-04-01,[note 4],S92000003,Scotland,50kW+ EV chargers,2945.0
2025-04-01,[note 4],S92000003,Scotland,EV chargers per 100k,209.5765202185
2025-04-01,[note 4],S92000003,Scotland,50kW+ EV chargers per 100k,53.0927184553534
2025-04-01,[note 4],N92000002,Northern Ireland,EV chargers,1036.0
2025-04-01,[note 4],N92000002,Northern Ireland,50kW+ EV chargers,296.0
2025-04-01,[note 4],N92000002,Northern Ireland,EV chargers per 100k,53.7384813691901
2025-04-01,[note 4],N92000002,Northern Ireland,50kW+ EV chargers per 100k,15.3538518197686
2025-07-01,[note 4],K02000001,United Kingdom,EV chargers,110132.0
2025-07-01,[note 4],K02000001,United Kingdom,50kW+ EV chargers,24813.0
2025-07-01,[note 4],K02000001,United Kingdom,EV chargers per 100k,158.963215500279
2025-07-01,[note 4],K02000001,United Kingdom,50kW+ EV chargers per 100k,35.8147883104676
2025-07-01,[note 4],K03000001,Great Britain,EV chargers,109079.0
2025-07-01,[note 4],K03000001,Great Britain,50kW+ EV chargers,24513.0
2025-07-01,[note 4],K03000001,Great Britain,EV chargers per 100k,161.949812854794
2025-07-01,[note 4],K03000001,Great Britain,50kW+ EV chargers per 100k,36.3945008893514
2025-07-01,[note 4],E92000001,England,EV chargers,91772.0
2025-07-01,[note 4],E92000001,England,50kW+ EV chargers,20164.0
2025-07-01,[note 4],E92000001,England,EV chargers per 100k,156.553807370615
2025-07-01,[note 4],E92000001,England,50kW+ EV chargers per 100k,34.3977571788899
2025-07-01,[note 4],E12000001,North East,EV chargers,3552.0
2025-07-01,[note 4],E12000001,North East,50kW+ EV chargers,807.0
2025-07-01,[note 4],E12000001,North East,EV chargers per 100k,128.664045571414
2025-07-01,[note 4],E12000001,North East,50kW+ EV chargers per 100k,29.2319495428297
2025-07-01,[note 4],E12000002,North West,EV chargers,7804.0
2025-07-01,[note 4],E12000002,North West,50kW+ EV chargers,2543.0
2025-07-01,[note 4],E12000002,North West,EV chargers per 100k,100.86057176209
2025-07-01,[note 4],E12000002,North West,50kW+ EV chargers per 100k,32.8662780613781
2025-07-01,[note 4],E12000003,Yorkshire and The Humber,EV chargers,6202.0
2025-07-01,[note 4],E12000003,Yorkshire and The Humber,50kW+ EV chargers,1818.0
2025-07-01,[note 4],E12000003,Yorkshire and The Humber,EV chargers per 100k,109.325604507839
2025-07-01,[note 4],E12000003,Yorkshire and The Humber,50kW+ EV chargers per 100k,32.0467508860451
2025-07-01,[note 4],E12000004,East Midlands,EV chargers,5277.0
2025-07-01,[note 4],E12000004,East Midlands,50kW+ EV chargers,1771.0
2025-07-01,[note 4],E12000004,East Midlands,EV chargers per 100k,104.223367048747
2025-07-01,[note 4],E12000004,East Midlands,50kW+ EV chargers per 100k,34.9781283008016
2025-07-01,[note 4],E12000005,West Midlands,EV chargers,9732.0
2025-07-01,[note 4],E12000005,West Midlands,50kW+ EV chargers,2354.0
2025-07-01,[note 4],E12000005,West Midlands,EV chargers per 100k,157.292373097768
2025-07-01,[note 4],E12000005,West Midlands,50kW+ EV chargers per 100k,38.04626451625
2025-07-01,[note 4],E12000006,East of England,EV chargers,8898.0
2025-07-01,[note 4],E12000006,East of England,50kW+ EV chargers,2631.0
2025-07-01,[note 4],E12000006,East of England,EV chargers per 100k,135.303922901398
2025-07-01,[note 4],E12000006,East of England,50kW+ EV chargers per 100k,40.0072624357808
2025-07-01,[note 4],E12000007,London,EV chargers,27406.0
2025-07-01,[note 4],E12000007,London,50kW+ EV chargers,2190.0
2025-07-01,[note 4],E12000007,London,EV chargers per 100k,301.504906193095
2025-07-01,[note 4],E12000007,London,50kW+ EV chargers per 100k,24.0931089747821
2025-07-01,[note 4],E12000008,South East,EV chargers,14471.0
2025-07-01,[note 4],E12000008,South East,50kW+ EV chargers,3536.0
2025-07-01,[note 4],E12000008,South East,EV chargers per 100k,150.06830902851
2025-07-01,[note 4],E12000008,South East,50kW+ EV chargers per 100k,36.6693069397286
2025-07-01,[note 4],E12000009,South West,EV chargers,8430.0
2025-07-01,[note 4],E12000009,South West,50kW+ EV chargers,2514.0
2025-07-01,[note 4],E12000009,South West,EV chargers per 100k,143.131350604743
2025-07-01,[note 4],E12000009,South West,50kW+ EV chargers per 100k,42.684723062909
2025-07-01,[note 4],W92000004,Wales,EV chargers,5237.0
2025-07-01,[note 4],W92000004,Wales,50kW+ EV chargers,1175.0
2025-07-01,[note 4],W92000004,Wales,EV chargers per 100k,164.345422256644
2025-07-01,[note 4],W92000004,Wales,50kW+ EV chargers per 100k,36.8733761985024
2025-07-01,[note 4],S92000003,Scotland,EV chargers,12070.0
2025-07-01,[note 4],S92000003,Scotland,50kW+ EV chargers,3174.0
2025-07-01,[note 4],S92000003,Scotland,EV chargers per 100k,217.599019272026
2025-07-01,[note 4],S92000003,Scotland,50kW+ EV chargers per 100k,57.2211505525609
2025-07-01,[note 4],N92000002,Northern Ireland,EV chargers,1053.0
2025-07-01,[note 4],N92000002,Northern Ireland,50kW+ EV chargers,300.0
2025-07-01,[note 4],N92000002,Northern Ireland,EV chargers per 100k,54.6202904264065
2025-07-01,[note 4],N92000002,Northern Ireland,50kW+ EV chargers per 100k,15.5613363038195
2025-10-01,[note 4],K02000001,United Kingdom,EV chargers,114486.0
2025-10-01,[note 4],K02000001,United Kingdom,50kW+ EV chargers,25590.0
2025-10-01,[note 4],K02000001,United Kingdom,EV chargers per 100k,165.247727179793
2025-10-01,[note 4],K02000001,United Kingdom,50kW+ EV chargers per 100k,36.9363008449146
2025-10-01,[note 4],K03000001,Great Britain,EV chargers,113355.0
2025-10-01,[note 4],K03000001,Great Britain,50kW+ EV chargers,25275.0
2025-10-01,[note 4],K03000001,Great Britain,EV chargers per 100k,168.298398739951
2025-10-01,[note 4],K03000001,Great Britain,50kW+ EV chargers per 100k,37.5258438370806
2025-10-01,[note 4],E92000001,England,EV chargers,95496.0
2025-10-01,[note 4],E92000001,England,50kW+ EV chargers,20888.0
2025-10-01,[note 4],E92000001,England,EV chargers per 100k,162.906577045986
2025-10-01,[note 4],E92000001,England,50kW+ EV chargers per 100k,35.6328284047139
2025-10-01,[note 4],E12000001,North East,EV chargers,3560.0
2025-10-01,[note 4],E12000001,North East,50kW+ EV chargers,823.0
2025-10-01,[note 4],E12000001,North East,EV chargers per 100k,128.953829457836
2025-10-01,[note 4],E12000001,North East,50kW+ EV chargers per 100k,29.8115173156739
2025-10-01,[note 4],E12000002,North West,EV chargers,8142.0
2025-10-01,[note 4],E12000002,North West,50kW+ EV chargers,2724.0
2025-10-01,[note 4],E12000002,North West,EV chargers per 100k,105.228956341227
2025-10-01,[note 4],E12000002,North West,50kW+ EV chargers per 100k,35.2055609277208
2025-10-01,[note 4],E12000003,Yorkshire and The Humber,EV chargers,6349.0
2025-10-01,[note 4],E12000003,Yorkshire and The Humber,50kW+ EV chargers,1923.0
2025-10-01,[note 4],E12000003,Yorkshire and The Humber,EV chargers per 100k,111.916843440869
2025-10-01,[note 4],E12000003,Yorkshire and The Humber,50kW+ EV chargers per 100k,33.8976358382094
2025-10-01,[note 4],E12000004,East Midlands,EV chargers,5405.0
2025-10-01,[note 4],E12000004,East Midlands,50kW+ EV chargers,1814.0
2025-10-01,[note 4],E12000004,East Midlands,EV chargers per 100k,106.751430528421
2025-10-01,[note 4],E12000004,East Midlands,50kW+ EV chargers per 100k,35.8273996260046
2025-10-01,[note 4],E12000005,West Midlands,EV chargers,9723.0
2025-10-01,[note 4],E12000005,West Midlands,50kW+ EV chargers,2442.0
2025-10-01,[note 4],E12000005,West Midlands,EV chargers per 100k,157.14691159367
2025-10-01,[note 4],E12000005,West Midlands,50kW+ EV chargers per 100k,39.4685547785397
2025-10-01,[note 4],E12000006,East of England,EV chargers,9103.0
2025-10-01,[note 4],E12000006,East of England,50kW+ EV chargers,2719.0
2025-10-01,[note 4],E12000006,East of England,EV chargers per 100k,138.421174440484
2025-10-01,[note 4],E12000006,East of England,50kW+ EV chargers per 100k,41.3453996818275
2025-10-01,[note 4],E12000007,London,EV chargers,29522.0
2025-10-01,[note 4],E12000007,London,50kW+ EV chargers,2213.0
2025-10-01,[note 4],E12000007,London,EV chargers per 100k,324.783910115761
2025-10-01,[note 4],E12000007,London,50kW+ EV chargers per 100k,24.3461416261154
2025-10-01,[note 4],E12000008,South East,EV chargers,14869.0
2025-10-01,[note 4],E12000008,South East,50kW+ EV chargers,3597.0
2025-10-01,[note 4],E12000008,South East,EV chargers per 100k,154.195680115052
2025-10-01,[note 4],E12000008,South East,50kW+ EV chargers per 100k,37.3018939655553
2025-10-01,[note 4],E12000009,South West,EV chargers,8823.0
2025-10-01,[note 4],E12000009,South West,50kW+ EV chargers,2633.0
2025-10-01,[note 4],E12000009,South West,EV chargers per 100k,149.804022109804
2025-10-01,[note 4],E12000009,South West,50kW+ EV chargers per 100k,44.7052012031183
2025-10-01,[note 4],W92000004,Wales,EV chargers,5610.0
2025-10-01,[note 4],W92000004,Wales,50kW+ EV chargers,1231.0
2025-10-01,[note 4],W92000004,Wales,EV chargers per 100k,176.050757849871
2025-10-01,[note 4],W92000004,Wales,50kW+ EV chargers per 100k,38.6307456173246
2025-10-01,[note 4],S92000003,Scotland,EV chargers,12249.0
2025-10-01,[note 4],S92000003,Scotland,50kW+ EV chargers,3156.0
2025-10-01,[note 4],S92000003,Scotland,EV chargers per 100k,220.826046981197
2025-10-01,[note 4],S92000003,Scotland,50kW+ EV chargers per 100k,56.8966449728677
2025-10-01,[note 4],N92000002,Northern Ireland,EV chargers,1131.0
2025-10-01,[note 4],N92000002,Northern Ireland,50kW+ EV chargers,315.0
2025-10-01,[note 4],N92000002,Northern Ireland,EV chargers per 100k,58.6662378653996
2025-10-01,[note 4],N92000002,Northern Ireland,50kW+ EV chargers per 100k,16.3394031190105
2026-01-01,[no note],K02000001,United Kingdom,EV chargers,116052.0
2026-01-01,[no note],K02000001,United Kingdom,50kW+ EV chargers,26378.0
2026-01-01,[no note],K02000001,United Kingdom,EV chargers per 100k,167.508072905589
2026-01-01,[no note],K02000001,United Kingdom,50kW+ EV chargers per 100k,38.0736906481891
2026-01-01,[no note],K03000001,Great Britain,EV chargers,114944.0
2026-01-01,[no note],K03000001,Great Britain,50kW+ EV chargers,26056.0
2026-01-01,[no note],K03000001,Great Britain,EV chargers per 100k,170.657590267434
2026-01-01,[no note],K03000001,Great Britain,50kW+ EV chargers per 100k,38.6853961234014
2026-01-01,[no note],E92000001,England,EV chargers,97235.0
2026-01-01,[no note],E92000001,England,50kW+ EV chargers,21797.0
2026-01-01,[no note],E92000001,England,EV chargers per 100k,165.873136247241
2026-01-01,[no note],E92000001,England,50kW+ EV chargers per 100k,37.1834910349267
2026-01-01,[no note],E12000001,North East,EV chargers,3834.0
2026-01-01,[no note],E12000001,North East,50kW+ EV chargers,893.0
2026-01-01,[no note],E12000001,North East,EV chargers per 100k,138.878927567793
2026-01-01,[no note],E12000001,North East,50kW+ EV chargers per 100k,32.3471263218673
2026-01-01,[no note],E12000002,North West,EV chargers,8120.0
